f(9)=9
f1(0)=1, f2(0)=2
a=2
 h1(0)=2, h2(0)=2
0.50000 1.77245310268896 56
1.00000 0.999988172294371 48
1.50000 0.886226551344482 56
2.00000 1.00000017918096 64
2.50000 1.32933982701672 56
3.00000 2.00000035836193 64
3.50000 3.32334956754181 56
4.00000 6.00000107508579 64
4.50000 11.6317234863963 56
5.00000 24.0000043003432 64
5.50000 52.3427556887835 56
6.00000 120.000021501716 64
6.50000 287.885156288309 56
7.00000 720.000129010295 64
7.50000 1871.25351587401 56
8.00000 5040.00090307206 64
8.50000 14034.4013690551 56
